zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/00Draft Initial Study_230 Long Ranch Rd_P24-00114-ECPA_ocr.PDF:(Ceanothus purpureus), Sharsmith’s western flax (Hesperolinon sharsmithiae), Napa lomatium (Lomatium repostum), Mt. Diablo
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/00Draft Initial Study_230 Long Ranch Rd_P24-00114-ECPA_ocr.PDF:cottonweed (Micropus amphibolus), and green monardella (Monardella viridis). Of these five special-status plants, project biologists
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:(Pickeringia montana), and whiteleaf manzanita (Arctostaphylos manzanita ssp. manzanita). In some areas
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Eryngium jepsonii
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Lupinus sericatus
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Micropus amphibolus
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Monardella viridis
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Navarretia cotulifolia
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Navarretia rosulata
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Penstemon newberryi
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Ranunculus lobbii
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Sagittaria sanfordii
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Sidalcea oregana ssp.
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Trichostema ruygtii
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Triteleia lugens
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Arctostaphylos glandulosa ssp.
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Arctostaphylos manzanita ssp.
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Calystegia collina ssp. collina
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Ceanothus cuneatus var. cuneatus
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Ceanothus foliosus var. foliosus
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Ceanothus purpureus
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Cercocarpus betuloides var.
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Chlorogalum pomeridianum var.
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Eriogonum nudum var. nudum
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Eriophyllum lanatum var.
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Hesperolinon sharsmithiae
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Lomatium repostum
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Microseris douglasii ssp. douglasii
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Monardella viridis
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Pickeringia montana var. montana
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Quercus durata var. durata
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Rhus aromatica
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Rosa gymnocarpa var. gymnocarpa
zips/2025110960/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/helms-initial-study.PDF:Critical habitat for three ESA-listed plant species (succulent owl’s- clover [Castilleja campestris var.
zips/2025110960/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/helms-initial-study.PDF:succulenta], San Joaquin Valley Orcutt grass [Orcuttia inaequalis], and hairy Orcutt grass [Orcuttia
zips/2025110961/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/balch-initial-study.PDF:plant species (Tompkins’ sedge [Carex tompkinsii]), and no special- status lichens. Critical habitat for one
zips/2025110961/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/balch-initial-study.PDF:ESA-listed plant species (Keck's checkerbloom [Sidalcea keckii]) is located within the proposed FERC
