zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:General occurrences of bent-flowered fiddleneck (Amsinckia lunaris) and Santa
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Atriplex coulteri
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Atriplex serenana
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Bahiopsis laciniata San Diego
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Atriplex parishii
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Atriplex pacifica
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Brodiaea filifolia
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Calochortus weedii intermediate
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Calystegia felix
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Chorizanthe parryi San Fernando Polygonaceae
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Eleocharis parvula small
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Helianthus nuttallii Los Angeles
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Horkelia cuneata
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Isocoma menziesii decumbent
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Juglans californica Southern
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Juncus acutus ssp. southwestern
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Lasthenia glabrata Coulter's
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Lilium humboldtii
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Nama stenocarpa
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Nolina cismontana chaparral
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Orcuttia californica California
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Pentachaeta aurea Allen's
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Phacelia hubbyi
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Quercus durata
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Romneya coulteri
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Senecio aphanactis chaparral
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Suaeda esteroa
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Suaeda taxifolia
zips/2026060465/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Staten Island BRE_Final_April2026.PDF:Brasenia schreberi
zips/2026060465/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Staten Island BRE_Final_April2026.PDF:Carex comosa
zips/2026060465/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Staten Island BRE_Final_April2026.PDF:Centromadia parryi subsp. parryi
zips/2026060465/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Staten Island BRE_Final_April2026.PDF:Centromadia parryi subsp. rudis
zips/2026060465/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Staten Island BRE_Final_April2026.PDF:Chloropyron molle subsp. molle
zips/2026060465/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Staten Island BRE_Final_April2026.PDF:Cicuta maculata var. bolanderi
zips/2026060465/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Staten Island BRE_Final_April2026.PDF:Downingia pusilla
zips/2026060465/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Staten Island BRE_Final_April2026.PDF:Hibiscus lasiocarpos var. occidentalis
zips/2026060465/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Staten Island BRE_Final_April2026.PDF:Lathyrus jepsonii var. jepsonii
zips/2026060465/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Staten Island BRE_Final_April2026.PDF:Limosella australis
zips/2026060465/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Staten Island BRE_Final_April2026.PDF:Potamogeton zosteriformis
zips/2026060465/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Staten Island BRE_Final_April2026.PDF:Sagittaria sanfordii
zips/2026060465/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Staten Island BRE_Final_April2026.PDF:Scutellaria galericulata
zips/2026060465/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Staten Island BRE_Final_April2026.PDF:Scutellaria lateriflora
zips/2026060465/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Staten Island BRE_Final_April2026.PDF:Symphyotrichum lentum
zips/2026060465/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Staten Island BRE_Final_April2026.PDF:Trifolium hydrophilum
zips/2026060465/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Staten Island BRE_Final_April2026.PDF:Suisun Marsh aster (Symphyotrichum lentum; CRPR 1B.2), but the plant was vegetative and
zips/2026060465/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Staten Island BRE_Final_April2026.PDF:Carex comosa
zips/2026060465/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Staten Island BRE_Final_April2026.PDF:Cicuta maculata
zips/2026060465/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Staten Island BRE_Final_April2026.PDF:Downingia pusilla
zips/2026060465/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Staten Island BRE_Final_April2026.PDF:Lepidium latipes
zips/2026060465/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Staten Island BRE_Final_April2026.PDF:Lathyrus jepsonii
zips/2026060465/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Staten Island BRE_Final_April2026.PDF:(Cupressus macrocarpa) trees or
zips/2026060465/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Staten Island BRE_Final_April2026.PDF:Lathyrus jepsonii var.
zips/2026060465/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Staten Island_PublicDraft_clean.PDF:aster (Symphyotrichum lentum; California Rare Plant Rank [CRPR] 1B.2), but the plant was vegetative
zips/2026060465/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Staten Island_PublicDraft_clean.PDF:Brasenia schreberi
zips/2026060465/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Staten Island_PublicDraft_clean.PDF:Carex comosa
zips/2026060465/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Staten Island_PublicDraft_clean.PDF:Centromadia parryi subsp. parryi
zips/2026060465/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Staten Island_PublicDraft_clean.PDF:Centromadia parryi subsp. rudis
zips/2026060465/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Staten Island_PublicDraft_clean.PDF:Chloropyron molle subsp. molle
zips/2026060465/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Staten Island_PublicDraft_clean.PDF:Cicuta maculata var. bolanderi
zips/2026060465/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Staten Island_PublicDraft_clean.PDF:Downingia pusilla
zips/2026060465/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Staten Island_PublicDraft_clean.PDF:Hibiscus lasiocarpos var. occidentalis
zips/2026060465/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Staten Island_PublicDraft_clean.PDF:Lathyrus jepsonii var. jepsonii
zips/2026060465/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Staten Island_PublicDraft_clean.PDF:Limosella australis
zips/2026060465/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Staten Island_PublicDraft_clean.PDF:Potamogeton zosteriformis
zips/2026060465/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Staten Island_PublicDraft_clean.PDF:Sagittaria sanfordii
zips/2026060465/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Staten Island_PublicDraft_clean.PDF:Scutellaria galericulata
zips/2026060465/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Staten Island_PublicDraft_clean.PDF:Scutellaria lateriflora
zips/2026060465/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Staten Island_PublicDraft_clean.PDF:Symphyotrichum lentum
zips/2026060465/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Staten Island_PublicDraft_clean.PDF:Trifolium hydrophilum
