zips/2024061139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/NID Yuba-Bear Draft CEQA Supp.PDF:(Clarkia biloba ssp. brandegeeae), wooly-fruited sedge (Carex lasiocarpa), and water bulrush
zips/2024061139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/NID Yuba-Bear Draft CEQA Supp.PDF:(Schoenoplectus subterminalis). The literature review concluded that suitable habitat for
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Rhynchospora californica
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Sidalcea hickmanii ssp. napensis
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Symphyotrichum lentum
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Trichostema ruygtii
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Trifolium amoenum
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Trifolium hydrophilum
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Viburnum ellipticum
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Contra Costa Goldfields Lasthenia conjugens
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Showy Indian Clover Trifolium amoenum
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Tiburon Paintbrush Castilleja affinis ssp. neglecta
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Allium peninsulare var. franciscanum
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Amorpha californica var. napensis
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Balsamorhiza macrolepis
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Brodiaea leptandra
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Castilleja affinis var. neglecta
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Erigeron biolettii
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Erigeron greenei
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Helianthella castanea
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Leptosiphon jepsonii
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Trichostema ruygtii
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Astragalus tener var. tener
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Extriplex joaquinana
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Fritillaria liliacea
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Isocoma arguta
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Lessingia hololeuca
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Senecio aphanactis
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Trifolium amoenum
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Carex lyngbyei
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Centromadia parryi ssp. parryi
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Chloropyron molle ssp. molle
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Downingia pusilla
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Eryngium jepsonii
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Lasthenia conjugens
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Lathyrus jepsonii var. jepsonii
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Polygonum marinense
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Symphyotrichum lentum
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Trifolium hydrophilum
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Carex lyngbyei
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Astragalus tener var.
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:,:::::;:> Balsamorhiza macrolepis
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:,:::::;:> Brodiaea leptandra
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Castilleja affinis var.
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:,:::::;:> Ceanothus purpureus
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:,:::::;:> Downingia pusilla
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:,:::::;:> Erigeron greenei
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:,:::::;:> Extriplex joaquinana
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:,:::::;:> Lasthenia conjugens
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:,:::::;:> Polygonum marinense
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Symphyotrichum lentum
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Trichostema ruygtii
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:,:::::;:> Trifolium amoenum
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:,:::::;:> Trifolium hydrophilum
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:,:::::;:> Viburnum ellipticum
zips/2025060902/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_San Bernardino County Fire Station No.PDF:Allium howellii var. Clokeyi
zips/2025060902/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_San Bernardino County Fire Station No.PDF:Arenaria paludicola
zips/2025060902/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_San Bernardino County Fire Station No.PDF:Astragalus hornii var. hornii
zips/2025060902/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_San Bernardino County Fire Station No.PDF:Berberis nevinii
zips/2025060902/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_San Bernardino County Fire Station No.PDF:Brodiaea filifolia
zips/2025060902/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_San Bernardino County Fire Station No.PDF:Calochortus palmeri var. palmeri
zips/2025060902/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_San Bernardino County Fire Station No.PDF:Calochortus plummerae
zips/2025060902/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_San Bernardino County Fire Station No.PDF:Carex comosa
zips/2025060902/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_San Bernardino County Fire Station No.PDF:Castilleja lasiorhyncha
zips/2025060902/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_San Bernardino County Fire Station No.PDF:Centromadia pungens ssp. laevis
zips/2025060902/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_San Bernardino County Fire Station No.PDF:Chloropyron maritimum ssp.
zips/2025060902/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_San Bernardino County Fire Station No.PDF:Chorizanthe parryi var. parryi
zips/2025060902/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_San Bernardino County Fire Station No.PDF:Cuscuta obtusiflora var.
zips/2025060902/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_San Bernardino County Fire Station No.PDF:Dodecahema leptoceras
zips/2025060902/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_San Bernardino County Fire Station No.PDF:Eriastrum densifolium ssp.
zips/2025060902/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_San Bernardino County Fire Station No.PDF:Fimbristylis thermalis
zips/2025060902/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_San Bernardino County Fire Station No.PDF:Galium californicum ssp. primum
zips/2025060902/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_San Bernardino County Fire Station No.PDF:Helianthus nuttallii ssp. parishii
zips/2025060902/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_San Bernardino County Fire Station No.PDF:Heuchera parishii
zips/2025060902/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_San Bernardino County Fire Station No.PDF:Horkelia cuneata var. puberula
zips/2025060902/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_San Bernardino County Fire Station No.PDF:Imperata brevifolia
zips/2025060902/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_San Bernardino County Fire Station No.PDF:Ivesia argyrocoma var.
zips/2025060902/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_San Bernardino County Fire Station No.PDF:Lepidium virginicum var.
zips/2025060902/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_San Bernardino County Fire Station No.PDF:Lycium parishii
zips/2025060902/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_San Bernardino County Fire Station No.PDF:Malacothamnus parishii
zips/2025060902/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_San Bernardino County Fire Station No.PDF:Monardella macrantha ssp. hallii
zips/2025060902/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_San Bernardino County Fire Station No.PDF:Monardella pringlei
zips/2025060902/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_San Bernardino County Fire Station No.PDF:Nasturtium gambelii
zips/2025060902/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_San Bernardino County Fire Station No.PDF:Pelazoneuron puberulum var.
zips/2025060902/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_San Bernardino County Fire Station No.PDF:Perideridia parishii ssp. parishii
zips/2025060902/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_San Bernardino County Fire Station No.PDF:Ribes divaricatum var. parishii
zips/2025060902/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_San Bernardino County Fire Station No.PDF:Schoenus nigricans
zips/2025060902/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_San Bernardino County Fire Station No.PDF:Senecio aphanactis
zips/2025060902/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_San Bernardino County Fire Station No.PDF:Sidalcea malviflora ssp. dolosa
zips/2025060902/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_San Bernardino County Fire Station No.PDF:Sidalcea neomexicana
zips/2025060902/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_San Bernardino County Fire Station No.PDF:Sphenopholis obtusata
zips/2025060902/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_San Bernardino County Fire Station No.PDF:Streptanthus campestris
zips/2025060902/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_San Bernardino County Fire Station No.PDF:Symphyotrichum defoliatum
zips/2025060902/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_San Bernardino County Fire Station No.PDF:paludicola), Nevin’s barberry (Berberis nevinii), thread-leaved brodiaea (Brodiaea filifolia), salt
zips/2025060902/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_San Bernardino County Fire Station No.PDF:marsh bird’s beak (Chloropyron maritimum ssp. maritimum), slender-horned spineflower
zips/2025060902/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_San Bernardino County Fire Station No.PDF:(Dodecahema leptoceras), Santa Ana River woollystar (Eriastrum densifolium ssp. sanctorum), and
zips/2025060902/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_San Bernardino County Fire Station No.PDF:Gambel’s water cress (Nasturtium gambelii).
zips/2025060902/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 4_San Bernardino Fire Station No.PDF:consisted of California black walnut (Juglans californica), Coast live oak (Quercus agrifolia), and California
