zips/2024100489/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLNP2023-00203_Initial Study-MND.PDF:sycamore (Platanus racemosa), California black walnut (Juglans californica), Oregon ash
zips/2024100489/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLNP2023-00203_Initial Study-MND.PDF:racemosa), California black walnut (Juglans californica), Oregon ash (Fraxinus latifolia),
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Biologist Ceanothus Inspection Ltr_ocr.PDF:(Ceanothus purpureus), a CNPS Rank 1B.2 plant with sensitive regulatory status, had
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Biologist Ceanothus Inspection Ltr_ocr.PDF:Wavyleaf ceanothus (Ceanothus foliosus var. foliosus) now provides extensive cover in
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:Trifolium hydrophilum
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:Astragalus clevelandii
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:Brodiaea leptandra
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:Castilleja ambigua var. ambigua
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:Castilleja ambigua var. meadii
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:Ceanothus purpureus
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:Clarkia gracilis ssp. tracyi
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:Downingia pusilla
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:Erigeron greenei
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:Eryngium jepsonii
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:Harmonia nutans
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:Hesperolinon sharsmithiae
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:Leptosiphon jepsonii
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:Leptosiphon latisectus
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:Limnanthes vinculans
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:Lomatium repostum
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:Micropus amphibolus
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:Monardella viridis
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:Navarretia leucocephala ssp. pauciflora
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:Penstemon newberryi var. sonomensis
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:Ranunculus lobbii
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:Sagittaria sanfordii
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:Streptanthus hesperidis
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:Trichostema ruygtii
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/00 InitialStudy_Atlas Rock P22-00031-ECPA_ocr.PDF:subsequently removed. In the post-fire recovery, wavy-leaf ceanothus (Ceanothus foliosus var. foliosus) provides extensive cover in areas
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/00 InitialStudy_Atlas Rock P22-00031-ECPA_ocr.PDF:(Adenostoma fasciculatum), wavy-leaf ceanothus, holly-leaf ceanothus (Ceanothus purpureus – a CNPS Rare Plant Rank 1B.2 species) and
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/00 InitialStudy_Atlas Rock P22-00031-ECPA_ocr.PDF:well as a follow-up survey on April 14, 2022 to determine wither the population of hollyleaf ceanothus (Ceanothus purpureus) had become more
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/00 InitialStudy_Atlas Rock P22-00031-ECPA_ocr.PDF:sensitive plant was found to occur onsite during the floristic survey: holly-leaf ceanothus (Ceanothus purpureus) is a CNPS Rank 1B.2
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/00 InitialStudy_Atlas Rock P22-00031-ECPA_ocr.PDF:cover of wavy-leaf ceanothus (Ceanothus foliosus var. foliusus) within the areas that previously support mixed oak woodland prior to the
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Zanker MPF Stormwater Basins Initial Study_9.PDF:Atriplex depressa
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Zanker MPF Stormwater Basins Initial Study_9.PDF:Centromadia parryi
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Zanker MPF Stormwater Basins Initial Study_9.PDF:Eryngium aristulatum
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Zanker MPF Stormwater Basins Initial Study_9.PDF:Extriplex joaquinana
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Zanker MPF Stormwater Basins Initial Study_9.PDF:Lasthenia conjugens
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Zanker MPF Stormwater Basins Initial Study_9.PDF:Navarretia prostrata
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Zanker MPF Stormwater Basins Initial Study_9.PDF:Puccinellia simplex
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Zanker MPF Stormwater Basins Initial Study_9.PDF:Suaeda californica
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Zanker MPF Stormwater Basins Initial Study_9.PDF:Trifolium hydrophilum
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Zanker MPF Stormwater Basins Initial Study_9.PDF:Astragalus tener var.
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-2 Section 404 Wetland Delineation (Optimized).PDF:Centromadia pungens ssp.
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-2 Section 404 Wetland Delineation (Optimized).PDF:Cuscuta pacifica
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Alkali milk-vetch (Astragalus tener var. tener). CNPS Rare Plant Rank (CRPR) 1B.2.
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:marbles (Psilocarphus tenellus), salt grass, mousetail (Myosurus minimus), and alkali
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Brittlescale (Atriplex depressa). CRPR 1B.1. Moderate Potential. Brittlescale is an
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:species include common tarplant (Centromadia pungens), fivehook (Bassia hyssopifolia),
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Congdon’s tarplant (Centromadia parryi ssp. congdonii). CRPR 1B.1. High
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:(Centromadia pungens ssp. pungens), alkali heath, salt grass, Italian ryegrass,
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Point Reyes bird’s beak (Chloropyron maritimum ssp. palustris). CRPR 1B.2
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Hoover’s button-celery (Eryngium aristulatum var. hooveri). CRPR 1B.1. Moderate
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:pulchella), and wooly heads (Psilocarphus brevissimus var. brevissimus).
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:San Joaquin spearscale (Extriplex joaquinana). CRPR 1B.2. Moderate Potential. San
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Contra Costa goldfields (Lasthenia conjugens) Federal Endangered, CRPR 1B.1.
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:yellow rayed goldfields (L. glabrata), semaphore grass (Pleuropogon californicus), calico
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Prostrate vernal pool navarretia (Navarretia prostrata). CRPR 1B.1. Moderate
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:California alkali grass (Puccinellia simplex). CRPR 1B.2. Moderate Potential.
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:California seablite (Suaeda californica). Federal Endangered, CRPR 1B.1. Moderate
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Saline clover (Trifolium hydrophilum). CRPR 1B.2. Moderate Potential. Saline clover
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:wormskioldii, T. fucatum), and sand spurry (Spergularia macrotheca) (CDFW 2019a).
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Atriplex depressa
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Centromadia parryi ssp.
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Eryngium aristulatum
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Extriplex joaquinana
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Lasthenia conjugens
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Navarretia prostrata
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Puccinellia simplex
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Trifolium hydrophilum
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Astragalus tener var.
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Centromadia pungens ssp.
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Cuscuta pacifica
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Acanthomintha lanceolata
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Androsace elongata ssp. acuta
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Astragalus tenervar. tener
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Atriplex depressa
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Atriplex minuscula
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Balsamorhiza macrolepis
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Calandrinia breweri
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Centromadia parryi ssp. congdonii
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Chloropyron maritimum ssp. pa lustre
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Chorizanthe robusta var. robusta
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Cirsium fontinale var. campy/on
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Clarkia concinna ssp. automixa
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Clarkia lewisii
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Collinsia multicolor
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Cypripedium fasciculatum
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Delphinium californicum ssp. interius
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Dirca occidentalis
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Dudleya abramsii ssp. setchellii
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Eryngium aristulatum var. hooveri
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Fritillaria agrestis
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Helianthella castanea
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Hoita strobilina
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:·· ·Iris longipetala
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Lasthenia conjugens
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Leptosiphon ambiguus
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Lessingia hololeuca
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Lessingia micradenia var. glabrata
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Malacothamnus arcuatus
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Mielichhoferia elongata
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Monolopia gracilens
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Navarretia paradoxiclara
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Navarretia prostrata
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Plagiobothrys glaber
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Puccinellia simplex
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Senecio aphanactis
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Sidalcea malachroides
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Spergularia macrotheca var. longistyla
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Stuckenia filiformis ssp. alpina
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Suaeda californica
zips/2024100486/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A-1 Biological Resources Report (Optimized).PDF:Tropidocarpum capparideum
zips/2024100483/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/All Projects.PDF:Alisma gramineum
zips/2024100483/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/All Projects.PDF:Arctostaphylos nummularia ssp. mendocinoensis
zips/2024100483/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/All Projects.PDF:Astragalus agnicidus
zips/2024100483/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/All Projects.PDF:Brasenia schreberi
zips/2024100483/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/All Projects.PDF:Carex californica
zips/2024100483/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/All Projects.PDF:Carex lyngbyei
zips/2024100483/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/All Projects.PDF:Coptis laciniata
zips/2024100483/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/All Projects.PDF:Erythronium revolutum
zips/2024100483/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/All Projects.PDF:Gilia millefoliata
zips/2024100483/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/All Projects.PDF:Hemizonia congesta ssp. congesta
zips/2024100483/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/All Projects.PDF:Hesperolinon adenophyllum
zips/2024100483/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/All Projects.PDF:Horkelia marinensis
zips/2024100483/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/All Projects.PDF:Lilium maritimum
zips/2024100483/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/All Projects.PDF:Lupinus milobakeri
zips/2024100483/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/All Projects.PDF:Lycopodium clavatum
zips/2024100483/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/All Projects.PDF:Mitellastra caulescens
zips/2024100483/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/All Projects.PDF:Navarretia leucocephala ssp. bakeri
zips/2024100483/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/All Projects.PDF:Packera bolanderi var. bolanderi
zips/2024100483/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/All Projects.PDF:Pinus contorta ssp. bolanderi
zips/2024100483/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/All Projects.PDF:Pleuropogon hooverianus
zips/2024100483/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/All Projects.PDF:Ramalina thrausta
zips/2024100483/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/All Projects.PDF:Rhynchospora alba
zips/2024100483/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/All Projects.PDF:Sidalcea malachroides
zips/2024100483/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/All Projects.PDF:Silene bolanderi
zips/2024100483/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/All Projects.PDF:Trifolium buckwestiorum
zips/2024100483/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/All Projects.PDF:Trifolium trichocalyx
zips/2024100483/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/All Projects.PDF:Usnea longissima
zips/2024100483/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/All Projects.PDF:Burke's Goldfields Lasthenia burkei
zips/2024100483/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/All Projects.PDF:Contra Costa Goldfields Lasthenia conjugens
zips/2024100483/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/All Projects.PDF:Lassics Lupine Lupinus constancei
zips/2024100483/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/All Projects.PDF:Showy Indian Clover Trifolium amoenum
zips/2024100483/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/All Projects.PDF:Buxbaumia viridis
zips/2024100483/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/All Projects.PDF:Chaenactis suffrutescens
zips/2024100483/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/All Projects.PDF:Eriastrum tracyi
zips/2024100483/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/All Projects.PDF:Harmonia doris-nilesiae
zips/2024100483/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/All Projects.PDF:Juncus dudleyi
zips/2024100483/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/All Projects.PDF:Juncus regelii
zips/2024100483/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/All Projects.PDF:Lewisia cotyledon var. heckneri
zips/2024100483/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/All Projects.PDF:Limnanthes floccosa ssp. floccosa
zips/2024100483/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/All Projects.PDF:Mielichhoferia elongata
zips/2024100483/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/All Projects.PDF:Penstemon tracyi
