zips/2025100035/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wells W9 W10 GW Improvements Public Draft ISMND_SCH.PDF:interior live oak (Quercus wislizenii), and scrub oak (Quercus dumosa), regardless of size.
zips/2025100035/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wells W9 W10 GW Improvements Public Draft ISMND_SCH.PDF:Cuscuta californica
zips/2025100051/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Mirabel-Road-Corridor-Improvements-Appendix B.PDF:Viburnum ellipticum
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Albion_CV Fuels Ph I_draft OCR.PDF:grass (Vulpia or Festuca), maygrass (Phalaris spp.), native barley (Hordeum intercedens), native
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:A Manual of California Vegetation classification: Monterey Pine Forest (Pinus radiata – Quercus
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Monterey pine forest habitat is dominated by Monterey pine trees (Pinus radiata), but also supports coast
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Hickman’s onion (Allium hickmanii) is a CNPS CRPR 1B species. It is a bulbiferous herb in the Liliaceae
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Toro manzanita (Arctostaphylos montereyensis) (also often referred to as Monterey manzanita) is a CNPS
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:San Francisco collinsia (Collinsia multicolor) is a CNPS CRPR 1B species. It an annual herb in the
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Seaside bird’s-beak (Cordylanthus rigidus ssp. littoralis) is a state endangered and CNPS CRPR 1B species.
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Hospital Canyon larkspur (Delphinium californicum ssp. interius) is a CNPS CRPR 1B species. It is a
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Hutchinson’s larkspur (Delphinium hutchinsoniae) is a CNPS CRPR 1B species. It is a perennial herb in
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Umbrella larkspur (Delphinium umbraculorum) is a CNPS CRPR 1B species. It is a perennial herb in the
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Eastwood’s goldenbush (Ericameria fasciculata) (also often referred to as Eastwood’s goldenfleece) is a
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Pinnacles buckwheat (Eriogonum nortonii) is a CNPS CRPR 1B species. It is an annual herb in the
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Carmel Valley bush mallow (Malacothamnus involucratus) is a CNPS CRPR 1B species. This deciduous
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Arroyo Seco bush mallow (Malacothamnus lucianus) is a CNPS CRPR 1B species. It is a perennial
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Carmel Valley malacothrix (Malacothrix saxatilis var. arachnoidea) is a CNPS CRPR 1B species. It is a
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Northern curly-leaved monardella (Monardella sinuata ssp. nigrescens) is a CNPS CRPR 1B species in the
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Monterey pine (Pinus radiata) is a CNPS List 1B species. This evergreen tree occurs in closed-cone
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Hooked popcorn flower (Plagiobothrys uncinatus) is a CNPS CRPR 1B species. It is an annual herb in the
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Pine rose (Rosa pinetorum) is a CNPS CRPR 1B species in the Rosaceae family. This perennial shrub is
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Santa Cruz microseris (Stebbinsoseris decipiens) is a CNPS CRPR 1B species. This annual herb in the
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Pacific Grove clover (Trifolium polyodon) is a State Rare, CNPS CRPR 1B species in the Fabaceae family.
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Monterey clover (Trifolium trichocalyx) is a CNPS CRPR 1B species in the Fabaceae family. This annual
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Abies bracteata
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Agrostis blasdalei
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Agrostis lacuna-vernalis
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Allium hickmanii
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Aphyllon robbinsii
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Arctostaphylos edmundsii
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Arctostaphylos hookeri ssp. hookeri
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Arctostaphylos montereyensis
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Arctostaphylos pajaroensis
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Arctostaphylos pumila
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Astragalus tener var. tener
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Astragalus tener var. titi
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Calyptridium parryi var. hesseae
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Carex obispoensis
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Carlquistia muirii
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Castilleja ambigua var. insalutata
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Centromadia parryi ssp. congdonii
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Chorizanthe minutiflora
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Chorizanthe pungens var. pungens
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Cirsium occidentale var. compactum
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Clarkia jolonensis
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Collinsia multicolor
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Cordylanthus rigidus ssp. littoralis
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Dacryophyllum falcifolium
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Delphinium californicum ssp. interius
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Delphinium hutchinsoniae
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Delphinium umbraculorum
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Ericameria fasciculata
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Eriogonum nortonii
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Eryngium montereyense
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Erysimum ammophilum
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Erysimum menziesii
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Fritillaria falcata
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Fritillaria liliacea
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Galium californicum ssp. luciense
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Galium clementis
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Gilia tenuiflora ssp. arenaria
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Horkelia cuneata var. sericea
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Horkelia marinensis
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Lasthenia conjugens
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Layia carnosa
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Lupinus tidestromii
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Malacothamnus involucratus
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Malacothamnus lucianus
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Malacothrix saxatilis var. arachnoidea
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Meconella oregana
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Microseris paludosa
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Monardella sinuata ssp. nigrescens
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Monolopia gracilens
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Pedicularis dudleyi
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Pinus radiata
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Plagiobothrys chorisianus var. chorisianus
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Plagiobothrys uncinatus
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Potentilla hickmanii
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Ramalina thrausta
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Rosa pinetorum
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Sanicula maritima
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Sidalcea malachroides
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Stebbinsoseris decipiens
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Sulcaria spiralifera
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Tortula californica
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Trifolium buckwestiorum
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Trifolium hydrophilum
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Trifolium polyodon
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Trifolium trichocalyx
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Clover (tidestrom''s) Lupine Lupinus tidestromii
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Coastal Dunes Milk-vetch Astragalus tener var. titi
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Contra Costa Goldfields Lasthenia conjugens
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Hickman's Potentilla Potentilla hickmanii
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Monterey Spineflower Chorizanthe pungens var. pungens
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Gowen Cypress Cupressus goveniana ssp. goveniana
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Abies bracteata
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Agrostis blasdalei
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Agrostis lacuna-vernalis
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Allium hickmanii
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Aphyllon robbinsii
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Arctostaphylos edmundsii
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Arctostaphylos hookeri
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Arctostaphylos pumila
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Arenaria paludicola
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Astragalus tener var.
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Astragalus tener var. titi
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Calyptridium parryi var.
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Carex obispoensis
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Carlquistia muirii
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Castilleja ambigua var.
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Centromadia parryi ssp.
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Chorizanthe minutiflora
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Chorizanthe pungens var.
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Cirsium occidentale var.
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Clarkia jolonensis
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Collinsia multicolor
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Cordylanthus rigidus
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Ericameria fasciculata
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Eriogonum nortonii
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Eryngium montereyense
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Erysimum ammophilum
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Erysimum menziesii
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Fritillaria falcata
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Fritillaria liliacea
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Galium clementis
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Gilia tenuiflora ssp.
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Horkelia cuneata ssp.
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Horkelia marinensis
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Lasthenia conjugens
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Layia carnosa
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Lupinus tidestromii
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Malacothrix saxatilis
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Meconella oregana
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Microseris paludosa
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Monardella sinuata ssp.
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Monolopia gracilens
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Pedicularis dudleyi
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Pinus radiata
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Plagiobothrys uncinatus
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Potentilla hickmanii
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Ramalina thrausta
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Rosa pinetorum
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Sanicula maritima
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Stebbinsoseris decipiens
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Sulcaria spiralifera
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Tortula californica
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Trifolium buckwestiorum
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Trifolium hydrophilum
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Trifolium polyodon
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A - Biological Resources Report OCR.PDF:Trifolium trichocalyx
zips/2025100063/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carmel Valley Fuelbreak SC Draft IS 9-23-2025 OCR.PDF:A Manual of California Vegetation classification: Monterey Pine Forest (Pinus radiata – Quercus
