zips/2024101280/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Riverford Roundabouts_Natural Environment Study.PDF:(Juncus acutus ssp. leopoldii)
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:Munz’s onion (Allium munzii), CRPR 1B.1, MSHCP Covered Species
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:thread-leaved brodiaea (Brodiaea filifolia) CRPR 1B.1, MSHCP Covered Species
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:smooth tarplant (Centromadia pungens ssp. laevis), CRPR 1B.1, MSHCP Covered Plant Species
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:Parry’s spineflower (Chorizanthe parryi var. parryi), CRPR 1B.1, MSHCP Covered Plant Species
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:long-spined spineflower (Chorizanthe polygonoides var. longispina), CRPR 1B.2, MSHCP Covered
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:San Miguel savory (Clinopodium chandleri), CRPR 1B.2, MSHCP Covered Plant Species
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:San Diego button-celery (Eryngium aristulatum var. parishii), CRPR 1B.1
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:prostrate navarretia (Navarretia prostrata), CRPR 1B.2
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:California Orcutt grass (Orcuttia californica), CRPR 1B.1, MSHCP Covered Plant Species
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:San Diego ambrosia (Ambrosia pumila), CRPR 1B.1, MSHCP Covered Species
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:rainbow manzanita (Arctostaphylos rainbowensis), CRPR 1B.1, MSHCP Covered Species
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:Jaeger's milk-vetch (Astragalus pachypus var. jaegeri), CRPR 1B.1, MSHCP Covered Species
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:San Jacinto Valley crownscale (Atriplex coronata var. notatior), CRPR 1B.1, MSHCP Covered Species
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:Orcutt's brodiaea (Brodiaea orcuttii), CRPR 1B.1, MSHCP Covered Species
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:intermediate mariposa-lily (Calochortus weedii var. intermedius), CRPR 1B.2, MSHCP Covered
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:many-stemmed dudleya (Dudleya multicaulis), CRPR 1B.2, MSHCP Covered Species
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:Palmer's grapplinghook (Harpagonella palmeri), CRPR 4.2, MSHCP Covered Species
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:vernal barley (Hordeum intercedens), CRPR 3.2, MSHCP Covered Species
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:southern California black walnut (Juglans californica), CRPR 4.2, MSHCP Covered Species
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:Coulter's goldfields (Lasthenia glabrata ssp. coulteri), CRPR 1B.1, MSHCP Covered Species
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:ocellated Humboldt lily (Lilium humboldtii ssp. Ocellatum), CRPR 4.2, MSHCP Covered Species
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:small-flowered microseris (Microseris douglasii ssp. Platycarpha), CRPR 4.2, MSHCP Covered
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:little mousetail (Myosurus minimus ssp. apus), CRPR 3.1, MSHCP Covered Species
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:spreading navarretia (Navarretia fossalis), CRPR 1B.1
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:white rabbit-tobacco (Pseudognaphalium leucocephalum), CRPR 2B.2
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:San Bernardino aster (Symphyotrichum defoliatum), CRPR 1B.2
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:California screw moss (Tortula californica), CRPR 1B.2
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:Corethrogyne filaginifolia
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:Abronia villosa var.
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:Aldama purisimae
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:Allium munzii
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:Ambrosia pumila
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:Astragalus pachypus
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:Atriplex coronata
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:Atriplex parishii
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:Ayenia compacta
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:Baccharis vanessae
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:Brodiaea filifolia
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:Brodiaea orcuttii
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:Calochortus weedii
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:Caulanthus simulans CDFW: None
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:Chorizanthe parryi
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:Dudleya multicaulis
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:Dudleya viscida
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:Geothallus tuberosus CDFW: None
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:Holocarpha virgata
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:Horkelia cuneata
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:Juglans californica
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:Juncus luciensis
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:Lasthenia glabrata
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:Lilium humboldtii
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:Microseris douglasii
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:Myosurus minimus
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:Navarretia fossalis
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:Navarretia prostrata
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:Nolina cismontana
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:Orcuttia californica
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:Quercus dumosa
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:Romneya coulteri
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:Tetracoccus dioicus
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:Tortula californica
zips/2024101271/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CEQA_Kings Estates V_Draft ISMND.PDF:Lasthenia chrysantha
zips/2024101271/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CEQA_Kings Estates V_Draft ISMND.PDF:Carex comosa
zips/2024101271/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CEQA_Kings Estates V_Draft ISMND.PDF:Atriplex depressa
zips/2024101271/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CEQA_Kings Estates V_Draft ISMND.PDF:Puccinellia simplex
zips/2024101271/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CEQA_Kings Estates V_Draft ISMND.PDF:Caulanthus californicus
zips/2024101271/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CEQA_Kings Estates V_Draft ISMND.PDF:Imperata brevifolia
zips/2024101271/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CEQA_Kings Estates V_Draft ISMND.PDF:Atriplex cordulata var. erecticaulis
zips/2024101271/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CEQA_Kings Estates V_Draft ISMND.PDF:Tuctoria greenei
zips/2024101271/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CEQA_Kings Estates V_Draft ISMND.PDF:Atriplex minuscula
zips/2024101271/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CEQA_Kings Estates V_Draft ISMND.PDF:Leptosiphon serrulatus
zips/2024101271/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CEQA_Kings Estates V_Draft ISMND.PDF:Pseudobahia peirsonii
zips/2024101271/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CEQA_Kings Estates V_Draft ISMND.PDF:Orcuttia inaequalis
zips/2024101271/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CEQA_Kings Estates V_Draft ISMND.PDF:Sagittaria sanfordii
zips/2024101271/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CEQA_Kings Estates V_Draft ISMND.PDF:Eryngium spinosepalum
zips/2024101271/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CEQA_Kings Estates V_Draft ISMND.PDF:Helianthus winteri
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:(Amsinckia lunaris)
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:(Arctostaphylos pallida)
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:(Astragalus tener var.
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:(Blepharizonia plumosa
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:(Calystegia purpurata
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:(Carex comosa)
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:(Centromadia parryi
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:(Chloropyron molle
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:(Chorizanthe cuspidata
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:(Chorizanthe robusta
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:(Cicuta maculata var.
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:(Cirsium andrewsii)
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:(Clarkia franciscana)
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:(Dirca occidentalis)
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:(Eriogonum luteolum
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:(Eryngium jepsonii)
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:(Extriplex joaquinana)
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:(Fissidens pauperculus)
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:(Fritillaria liliacea)
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:(Gilia capitata ssp.
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:(Gilia millefoliata)
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:(Helianthella castanea)
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:(Hemizonia congesta
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:(Heteranthera dubia)
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:(Hoita strobilina)
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:(Horkelia cuneata var.
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:(Isocoma arguta)
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:(Lasthenia conjugens)
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:(Layia carnosa)
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:(Leptosiphon rosaceus)
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:(Malacothamnus hallii)
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:(Meconella oregana)
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:(Monolopia gracilens)
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:(Oenothera deltoides
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:(Plagiobothrys glaber)
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:(Sanicula maritima)
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:(Stuckenia filiformis
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:(Suaeda californica)
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:(Triphysaria floribunda)
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:(Viburnum ellipticum)
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Amsinckia lunaris
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Androsace elongata California
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Astragalus tener
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Clarkia concinna
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Dirca occidentalis
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Fritillaria agrestis
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Heteranthera dubia water star-grass
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Hoita strobilina
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Horkelia cuneata
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Lessingia hololeuca woolly-headed
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Oenothera deltoides Antioch Dunes
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Ranunculus lobbii
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Fissidens pauperculus
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Anomobryum julaceum
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Cicuta maculata var. bolanderi
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Eryngium jepsonii
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Sanicula maritima
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Balsamorhiza macrolepis
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Blepharizonia plumosa
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Cirsium andrewsii
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Helianthella castanea
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Centromadia parryi ssp. congdonii
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Hemizonia congesta ssp. congesta
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Holocarpha macradenia
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Isocoma arguta
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Lasthenia conjugens
zips/2024101230/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Piedmont_Sewer Rehab_ IS-MND_Draft_10_25_24.PDF:Layia carnosa
