zips/2025060727/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/App B_3CRA120300_Lynwood Park_Tree Rpt_090624.PDF:chrysolepis), Engelmann oak (Quercus engelmannii), California walnut (Juglans
zips/2025060728/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT MND Initial Study CDLP22-02069.PDF:to occur within or near the project site, including San Joaquin Spearscale (Extriplex joaquinana),
zips/2025060728/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT MND Initial Study CDLP22-02069.PDF:Wooly rose-mallow (Hibiscus lasiocarpos var. occidentalis), Large-flowered fiddleneck
zips/2025060728/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT MND Initial Study CDLP22-02069.PDF:(Amsinckia grandiflora), Delta tule pea (Lathyrus jepsonii var. jepsonii), Manson’s lilaepsis
zips/2025060728/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT MND Initial Study CDLP22-02069.PDF:(Lilaepsis masonii), Delta mudwort (Limosella australis), Suisun Marsh Aster (Symphotrichum
zips/2025060728/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT MND Initial Study CDLP22-02069.PDF:Large-flowered Fiddleneck Amsinckia grandiflora
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Ceanothus purpureus)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Eryngium jepsonii)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Leptosiphon jepsonii)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Astragalus rattanii var. jepsoniamis)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Sidalcea oregana ssp. validd)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Arctostaphylos manzanita ssp. elegans)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Streptanthus morrisonii ssp.
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Eryngium constancei)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Navarretia leucocephala spp. plieantha)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Sidalcea oregana
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Plagiobothrys lithocaryus)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Lupinus milo-bakeri)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Streptanthus morrisonii ssp. morrisonii)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Calystegia collina ssp. oxyphylla)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Trichostema ruygtii)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Sidalcea hickmanii ssp. napensis)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Amorpha californica var. napensis)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Brodiaea leptandra)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Pleuropogon hooverianus)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Carex praticola)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Potamogeton epihydrus)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Polemonium carneum)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Viburnum ellipticum)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Centromadia parryi
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Cordylanthus tenuis
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Cuscuta obtusiflora
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Castilleja rubicundula var. rubicundula)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Navarretia paradoxinota)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Arctostaphylos stanfordiana ssp.
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Ceanothus confusus)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Arctostaphylos stanfordiana
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Trifolium hydrophilum)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Extriplex joaquinana)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Horkelia tenuiloba)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Limnanthes vinculans)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Erigeron serpentinus)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Hesperolinon sharsmithiae)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Orcuttia tenuis)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Calycadenia micrantha)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Kopsiopsis hookeri)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Eriogonum nervulosum)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Streptanthus brachiatus ssp. brachiatus)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Penstemon newberryi var. sonomensis)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Ceanothus sonomensis)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:[Horkelia tenuiloba)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Calystegia collina
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Hesperolinon bicarpellatum)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Ceanothus foliosus var.
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Brasenia schreberi)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Rhynchospora alba)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Limnanthes floccosa ssp.
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Ramalina thrausta)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Triquetrella californica)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Mielichhoferia elongata)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Anomobryum julaceum)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Grimmia torenii)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:Clarkia concinna
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppG_Biological Technical Report_Mar25.PDF:(Brodiaea filifolia) located approximately 120 feet northeast of the Survey Area. Critical habitat for threadleaved brodiaea is located approximately 100 feet north of the project area.
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppG_Biological Technical Report_Mar25.PDF:Acanthomintha ilicifolia
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppG_Biological Technical Report_Mar25.PDF:Acmispon prostratus
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppG_Biological Technical Report_Mar25.PDF:Adolphia californica
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppG_Biological Technical Report_Mar25.PDF:Ambrosia pumila
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppG_Biological Technical Report_Mar25.PDF:Aphanisma blitoides
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppG_Biological Technical Report_Mar25.PDF:Arctostaphylos glandulosa ssp.
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppG_Biological Technical Report_Mar25.PDF:Atriplex coulteri
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppG_Biological Technical Report_Mar25.PDF:Atriplex pacifica
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppG_Biological Technical Report_Mar25.PDF:Brodiaea filifolia
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppG_Biological Technical Report_Mar25.PDF:Centromadia pungens ssp. laevis
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppG_Biological Technical Report_Mar25.PDF:Chaenactis glabriuscula var.
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppG_Biological Technical Report_Mar25.PDF:Cryptantha wigginsii
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppG_Biological Technical Report_Mar25.PDF:Dudleya blochmaniae ssp.
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppG_Biological Technical Report_Mar25.PDF:Dudleya variegata
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppG_Biological Technical Report_Mar25.PDF:Dudleya viscida
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppG_Biological Technical Report_Mar25.PDF:Eryngium aristulatum var. parishii
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppG_Biological Technical Report_Mar25.PDF:Erysimum ammophilum
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppG_Biological Technical Report_Mar25.PDF:Euphorbia misera
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppG_Biological Technical Report_Mar25.PDF:Ferocactus viridescens
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppG_Biological Technical Report_Mar25.PDF:Isocoma menziesii var. decumbens
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppG_Biological Technical Report_Mar25.PDF:Iva hayesiana
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppG_Biological Technical Report_Mar25.PDF:Lepidium virginicum var. robinsonii
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppG_Biological Technical Report_Mar25.PDF:Leptosyne maritima
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppG_Biological Technical Report_Mar25.PDF:Nama stenocarpa
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppG_Biological Technical Report_Mar25.PDF:Navarretia fossalis
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppG_Biological Technical Report_Mar25.PDF:Nemacaulis denudata var.
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppG_Biological Technical Report_Mar25.PDF:Nemacaulis denudata var. gracilis
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppG_Biological Technical Report_Mar25.PDF:Quercus dumosa
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppG_Biological Technical Report_Mar25.PDF:Sidalcea neomexicana
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppG_Biological Technical Report_Mar25.PDF:Sphenopholis interrupta ssp.
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_Garrison_Public_Review_Draft.PDF:Acanthomintha ilicifolia
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_Garrison_Public_Review_Draft.PDF:Acmispon prostratus
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_Garrison_Public_Review_Draft.PDF:Adolphia californica
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_Garrison_Public_Review_Draft.PDF:Ambrosia pumila
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_Garrison_Public_Review_Draft.PDF:Aphanisma blitoides
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_Garrison_Public_Review_Draft.PDF:Arctostaphylos glandulosa ssp.
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_Garrison_Public_Review_Draft.PDF:Atriplex coulteri
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_Garrison_Public_Review_Draft.PDF:Atriplex pacifica
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_Garrison_Public_Review_Draft.PDF:Brodiaea filifolia
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_Garrison_Public_Review_Draft.PDF:Centromadia pungens ssp. laevis
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_Garrison_Public_Review_Draft.PDF:Chaenactis glabriuscula var.
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_Garrison_Public_Review_Draft.PDF:Cryptantha wigginsii
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_Garrison_Public_Review_Draft.PDF:Dudleya blochmaniae ssp.
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_Garrison_Public_Review_Draft.PDF:Dudleya variegata
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_Garrison_Public_Review_Draft.PDF:Dudleya viscida
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_Garrison_Public_Review_Draft.PDF:Eryngium aristulatum var. parishii
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_Garrison_Public_Review_Draft.PDF:Erysimum ammophilum
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_Garrison_Public_Review_Draft.PDF:Euphorbia misera
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_Garrison_Public_Review_Draft.PDF:Ferocactus viridescens
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_Garrison_Public_Review_Draft.PDF:Isocoma menziesii var. decumbens
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_Garrison_Public_Review_Draft.PDF:Iva hayesiana
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_Garrison_Public_Review_Draft.PDF:Lepidium virginicum var. robinsonii
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_Garrison_Public_Review_Draft.PDF:Leptosyne maritima
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_Garrison_Public_Review_Draft.PDF:Nama stenocarpa
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_Garrison_Public_Review_Draft.PDF:Navarretia fossalis
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_Garrison_Public_Review_Draft.PDF:Nemacaulis denudata var.
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_Garrison_Public_Review_Draft.PDF:Nemacaulis denudata var. gracilis
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_Garrison_Public_Review_Draft.PDF:Quercus dumosa
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_Garrison_Public_Review_Draft.PDF:Sidalcea neomexicana
zips/2025060730/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_Garrison_Public_Review_Draft.PDF:Sphenopholis interrupta ssp.
