zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Abronia maritima
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Astragalus tener var.
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Blennosperma bakeri
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Brodiaea leptandra
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Castilleja ambigua
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Ceanothus confusus
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Ceanothus divergens
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Downingia pusilla
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Erigeron greenei
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Eryngium jepsonii
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Extriplex joaquinana
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Hemizonia congesta
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Hesperolinon breweri
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Horkelia tenuiloba
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Lasthenia conjugens
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Layia septentrionalis
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Leptosiphon jepsonii
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Lupinus sericatus
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Navarretia rosulata
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Sagittaria sanfordii
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Sidalcea keckii
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Sidalcea oregana
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Trichostema ruygtii
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Trifolium amoenum
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Trifolium hydrophilum
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Viburnum ellipticum
zips/2025050141/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Kanaka_ISMND (1).PDF:Allium jepsonii
zips/2025050141/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Kanaka_ISMND (1).PDF:Allium sanbornii Sanborn’s
zips/2025050141/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Kanaka_ISMND (1).PDF:Carex xerophila
zips/2025050141/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Kanaka_ISMND (1).PDF:Clarkia biloba
zips/2025050141/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Kanaka_ISMND (1).PDF:Clarkia gracilis white-stemmed
zips/2025050141/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Kanaka_ISMND (1).PDF:Poa sierrae
zips/2025050141/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Kanaka_ISMND (1).PDF:Sanicula tracyi
zips/2025050141/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Kanaka_ISMND (1).PDF:report: big-scale balsamroot (Balsamorhiza macrolepis), dissected-leaved toothwort
zips/2025050141/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Kanaka_ISMND (1).PDF:(Cardamine pachystigma var. dissectifolia), white-stemmed clarkia (Clarkia gracilis ssp.
zips/2025050141/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Kanaka_ISMND (1).PDF:albicaulis), Mildred’s clarkia (Clarkia mildrediae ssp. mildrediae), Mosquin’s clarkia
zips/2025050141/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Kanaka_ISMND (1).PDF:(Clarkia mosquinii), Clifton’s eremogone (Eremogone cliftonii), fern-leaved
zips/2025050141/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Kanaka_ISMND (1).PDF:monkeyflower (Erythranthe filicifolia), minute pocket moss (Fissidens pauperculus), Pine
zips/2025050141/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Kanaka_ISMND (1).PDF:Hill flannelbush (Fremontodendron decumbens), Cantelow’s Lewisia (Lewisia
zips/2025050141/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Kanaka_ISMND (1).PDF:cantelovii), Layne’s ragwort (Packera layneae), Sierra blue grass (Poa sierrae), and
zips/2025050141/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Kanaka_ISMND (1).PDF:(Arctostaphylos mewukka ssp. truei), Sierra foothills brodiaea (Brodiaea sierrae),
zips/2025050141/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Kanaka_ISMND (1).PDF:thread-leaved beakseed (Bulbostylis capillaris), Butte County calycadenia (Calycadenia
zips/2025050141/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Kanaka_ISMND (1).PDF:clarkia (Clarkia mildrediae ssp. lutescens), streambank spring beauty (Claytonia
zips/2025050141/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Kanaka_ISMND (1).PDF:parviflora ssp. grandiflora), clustered lady’s-slipper (Cypripedium fasciculatum), obtuse
zips/2025050141/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Kanaka_ISMND (1).PDF:sierrensis), small-flowered monkeyflower (Erythranthe inconspicua), Butte County
zips/2025050141/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Kanaka_ISMND (1).PDF:fritillary (Fritillaria eastwoodiae), Humboldt lily (Lilium humboldtii ssp. humboldtii), sylvan
zips/2025050141/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Kanaka_ISMND (1).PDF:microseris (Microseris sylvatica), Tracy’s sanicle (Sanicula tracyi), giant checkerbloom
zips/2025050141/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Kanaka_ISMND (1).PDF:(Sidalcea gigantea), and longfruit jewelflower- (Streptanthus longisiliquus). Impacts on
zips/2025050141/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Kanaka_ISMND (1).PDF:include; big-scale balsamroot (Balsamorhiza macrolepis), dissected-leaved
zips/2025050141/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Kanaka_ISMND (1).PDF:toothwort (Cardamine pachystigma var. dissectifolia), white-stemmed
zips/2025050141/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Kanaka_ISMND (1).PDF:clarkia (Clarkia gracilis ssp. albicaulis), Mildred’s clarkia (Clarkia mildrediae
zips/2025050141/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Kanaka_ISMND (1).PDF:ssp. mildrediae), Mosquin’s clarkia (Clarkia mosquinii), Clifton’s eremogone
zips/2025050141/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Kanaka_ISMND (1).PDF:(Eremogone cliftonii), fern-leaved monkeyflower (Erythranthe filicifolia),
zips/2025050141/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Kanaka_ISMND (1).PDF:minute pocket moss (Fissidens pauperculus), Pine Hill flannelbush
zips/2025050141/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Kanaka_ISMND (1).PDF:(Fremontodendron decumbens), Cantelow’s Lewisia (Lewisia cantelovii),
zips/2025050141/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Kanaka_ISMND (1).PDF:Layne’s ragwort (Packera layneae), Sierra blue grass (Poa sierrae), and
zips/2025050141/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Kanaka_ISMND (1).PDF:plant species include; True’s manzanita (Arctostaphylos mewukka ssp.
zips/2025050141/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Kanaka_ISMND (1).PDF:truei), Sierra foothills brodiaea (Brodiaea sierrae), thread-leaved beakseed
zips/2025050141/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Kanaka_ISMND (1).PDF:(Bulbostylis capillaris), Butte County calycadenia (Calycadenia
zips/2025050141/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Kanaka_ISMND (1).PDF:golden-anthered clarkia (Clarkia mildrediae ssp. lutescens), streambank
zips/2025050141/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Kanaka_ISMND (1).PDF:spring beauty (Claytonia parviflora ssp. grandiflora), clustered lady’s-slipper
zips/2025050141/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Kanaka_ISMND (1).PDF:(Cypripedium fasciculatum), obtuse starwort (Engellaria obtusa), northern
zips/2025050141/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Kanaka_ISMND (1).PDF:monkeyflower (Erythranthe inconspicua), Butte County fritillary (Fritillaria
zips/2025050141/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Kanaka_ISMND (1).PDF:eastwoodiae), Humboldt lily (Lilium humboldtii ssp. humboldtii), sylvan
zips/2025050141/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Kanaka_ISMND (1).PDF:microseris (Microseris sylvatica), Tracy’s sanicle (Sanicula tracyi), giant
zips/2025050141/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Kanaka_ISMND (1).PDF:checkerbloom (Sidalcea gigantea), and longfruit jewelflower (Streptanthus
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:(Astragalus brauntonii), Nevin’s barberry (Berberis nevinii), thread-leaved brodiaea
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:(Brodiaea filifolia), and Santa Monica dudleya (Dudleya cymosa ssp. ovatifolia).
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:has been made for Braunton’s milk-vetch (Astragalus brauntonii), Nevin’s barberry (Berberis
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:nevinii), thread-leaved brodiaea (Brodiaea filifolia), and Santa Monica dudleya (Dudleya
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Braunton's Milk-vetch Astragalus brauntonii
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Nevin's Barberry Berberis nevinii
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Santa Monica Mountains Dudleyea Dudleya cymosa ssp.
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Thread-leaved Brodiaea Brodiaea filifolia
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Abronia villosa var. aurita
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Allium marvinii
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Astragalus brauntonii
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Atriplex coulteri
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Atriplex pacifica
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Atriplex serenana var. davidsonii
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Baccharis malibuensis
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Brodiaea filifolia
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Calochortus plummerae
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Calochortus weedii var. intermedius
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Centromadia parryi ssp. australis
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Chorizanthe parryi var. fernandina
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Chorizanthe polygonoides var. longispina
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Dudleya multicaulis
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Eriastrum densifolium ssp. sanctorum
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Helianthus nuttallii ssp. parishii
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Horkelia cuneata var. puberula
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Lasthenia glabrata ssp. coulteri
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Lepechinia cardiophylla
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Lepidium virginicum var. robinsonii
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Monardella hypoleuca ssp. intermedia
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Nama stenocarpa
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Nasturtium gambelii
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Nolina cismontana
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Penstemon californicus
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Pentachaeta aurea ssp. allenii
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Pseudognaphalium leucocephalum
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Senecio aphanactis
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Sidalcea neomexicana
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Suaeda esteroa
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Symphyotrichum defoliatum
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Abronia villosa var. chaparral
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Allium marvinii
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Atriplex coulteri
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Atriplex pacifica
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Atriplex serenana
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Bahiopsis laciniata San Diego
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Brodiaea filifolia
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Calandrinia breweri Brewer's
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Calochortus weedii intermediate
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Centromadia parryi southern
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Chorizanthe parryi
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Helianthus nuttallii Los Angeles
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Horkelia cuneata
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Juglans californica Southern
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Juncus acutus
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Lasthenia glabrata Coulter's
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Lilium humboldtii
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Nama stenocarpa
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Nolina cismontana chaparral
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Pentachaeta aurea Allen's
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Phacelia hubbyi
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Romneya coulteri
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Suaeda esteroa
zips/2025050142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0T730 IS-MNDwithAppendices_ADA_OCR_SCH.PDF:Suaeda taxifolia
