zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Allium peninsulare var.
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Astragalus tener var. alkali milk-vetch
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Calandrinia breweri Brewer's
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Calystegia collina
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Carex comosa
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Carex lyngbyei
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Carex praticola
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Castilleja affinis var. Tiburon
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Castilleja ambigua
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Ceanothus gloriosus glory brush
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Ceanothus gloriosus Point Reyes
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Ceanothus masonii
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Cirsium andrewsii
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Cistanthe maritima seaside cistanthe Montiaceae
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Clarkia franciscana
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Collinsia corymbosa round-headed
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Collinsia multicolor San Francisco
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Collomia diversifolia serpentine
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Dirca occidentalis
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Elymus californicus
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Entosthodon kochii
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Equisetum palustre
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Eriogonum luteolum Tiburon
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Erythranthe nudata bare
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Fritillaria liliacea
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Gilia capitata ssp.
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Gilia capitata ssp.
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Gilia millefoliata
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Grindelia hirsutula
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Hemizonia congesta congestedssp. congesta
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Heteranthera dubia water star-grass
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Horkelia cuneata
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Horkelia marinensis Point Reyes
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Horkelia tenuiloba
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Hosackia gracilis
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Iris longipetala
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Juncus acutus ssp.
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Kopsiopsis hookeri
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Layia carnosa
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Lessingia hololeuca woolly-headed
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Microseris paludosa marsh microseris Asteraceae
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Navarretia rosulata Marin County
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Perideridia gairdneri Gairdner's
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Quercus parvula
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Ranunculus lobbii
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Sagittaria sanfordii
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Sanicula maritima
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Sidalcea calycosa
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Sidalcea hickmanii
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Silene scouleri ssp.
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Silene verecunda
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Trifolium amoenum two-fork clover
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Allium peninsulare var.
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Amsinckia lunaris
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Arctostaphylos silvicola
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Astragalus tener var. tener
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Atriplex depressa
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Atriplex minuscula
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Balsamorhiza macrolepis
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Calyptridium parryi var.
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Centromadia parryi ssp.
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Chlorogalum pomeridianum
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Chloropyron maritimum ssp.
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Chorizanthe pungens var.
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Chorizanthe robusta var.
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Cirsium fontinale var.
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Collinsia multicolor
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Dirca occidentalis
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Dudleya abramsii ssp.
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Eryngium aristulatum var.
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Extriplex joaquinana
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Fritillaria liliacea
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Hoita strobilina
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Lasthenia conjugens
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Lessingia micradenia var.
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Malacothamnus arcuatus
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Malacothamnus hallii
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Monolopia gracilens
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Navarretia prostrata
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Pedicularis dudleyi
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Penstemon rattanii var. kleei
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Pentachaeta bellidiflora
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Puccinellia simplex
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Ravenella exigua
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Sagittaria sanfordii
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Sanicula saxatilis
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Senecio aphanactis
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Suaeda californica
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Trifolium buckwestiorum
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Trifolium hydrophilum
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Amsinckia lunaris
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Arctostaphylos silvicola
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Astragalus tener var. tener
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Atriplex depressa
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Atriplex minuscula
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Balsamorhiza macrolepis
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Calyptridium parryi var. hesseae
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Centromadia parryi ssp. congdonii
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Chlorogalum pomeridianum var. minus
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Chloropyron maritimum ssp. palustre
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Chorizanthe pungens var. hartwegiana
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Chorizanthe robusta var. robusta
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Cirsium fontinale var. campylon
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Clarkia concinna ssp. automixa
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Collinsia multicolor
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Dirca occidentalis
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Dudleya abramsii ssp. setchellii
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Eryngium aristulatum var. hooveri
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Extriplex joaquinana
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Fritillaria liliacea
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Hoita strobilina
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Lasthenia conjugens
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Lessingia micradenia var. glabrata
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Malacothamnus arcuatus
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Malacothamnus hallii
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Monolopia gracilens
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Navarretia prostrata
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Pedicularis dudleyi
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Penstemon rattanii var. kleei
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Pentachaeta bellidiflora
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Plagiobothrys glaber
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Puccinellia simplex
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Ravenella exigua
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Sagittaria sanfordii
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Sanicula saxatilis
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Senecio aphanactis
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Sidalcea malachroides
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Suaeda californica
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Trifolium buckwestiorum
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Trifolium hydrophilum
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Clarkia breweri Brewer's
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Clarkia lewisii
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Hoita strobilina Loma Prieta
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Iris longipetala
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Lessingia tenuis spring
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Ben Lomond Spineflower Chorizanthe pungens var.
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Ben Lomond Wallflower Erysimum teretifolium
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:California Seablite Suaeda californica
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Contra Costa Goldfields Lasthenia conjugens
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Fountain Thistle Cirsium fontinale var. fontinale
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Marin Dwarf-flax Hesperolinon congestum
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Marsh Sandwort Arenaria paludicola
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Monterey Spineflower Chorizanthe pungens var. pungens
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Robust Spineflower Chorizanthe robusta var. robusta
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:San Mateo Thornmint Acanthomintha obovata ssp. duttonii
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:San Mateo Woolly Sunflower Eriophyllum latilobum
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Santa Cruz Tarplant Holocarpha macradenia
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Scotts Valley Polygonum Polygonum hickmanii
zips/2025020020/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Scotts Valley Spineflower Chorizanthe robusta var.
