zips/2025060163/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resource Letter.PDF:(Abronia villosa var. aurita)
zips/2025060167/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/LTRID Poplar Basin_DRAFT_F.PDF:(Clarkia springvillensis)
zips/2025060167/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/LTRID Poplar Basin_DRAFT_F.PDF:Lasthenia chrysantha
zips/2025060167/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/LTRID Poplar Basin_DRAFT_F.PDF:Atriplex depressa
zips/2025060167/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/LTRID Poplar Basin_DRAFT_F.PDF:Diplacus pictus
zips/2025060167/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/LTRID Poplar Basin_DRAFT_F.PDF:Puccinellia simplex
zips/2025060167/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/LTRID Poplar Basin_DRAFT_F.PDF:Caulanthus californicus
zips/2025060167/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/LTRID Poplar Basin_DRAFT_F.PDF:Atriplex cordulata var. erecticaulis
zips/2025060167/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/LTRID Poplar Basin_DRAFT_F.PDF:Eremalche parryi ssp. kernensis
zips/2025060167/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/LTRID Poplar Basin_DRAFT_F.PDF:Atriplex minuscula
zips/2025060167/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/LTRID Poplar Basin_DRAFT_F.PDF:Atriplex coronata var. vallicola
zips/2025060167/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/LTRID Poplar Basin_DRAFT_F.PDF:Delphinium recurvatum
zips/2025060167/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/LTRID Poplar Basin_DRAFT_F.PDF:Pseudobahia peirsonii
zips/2025060167/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/LTRID Poplar Basin_DRAFT_F.PDF:Monolopia congdonii
zips/2025060167/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/LTRID Poplar Basin_DRAFT_F.PDF:Clarkia springvillensis
zips/2025060167/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/LTRID Poplar Basin_DRAFT_F.PDF:Fritillaria striata
zips/2025060167/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/LTRID Poplar Basin_DRAFT_F.PDF:Atriplex subtilis
zips/2025060167/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/LTRID Poplar Basin_DRAFT_F.PDF:Atriplex persistens
zips/2025060168/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A_Biological Assessment.PDF:Marsh sandwort (Arenaria paludicola) is a federally and state listed Endangered Species and is
zips/2025060168/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A_Biological Assessment.PDF:Nevin’s barberry (Berberis nevinii) is a federally and state Endangered Species and is ranked
zips/2025060168/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A_Biological Assessment.PDF:The thread-leaved brodiaea (Brodiaea filifolia) is a federally Threatened, state Endangered and is
zips/2025060168/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A_Biological Assessment.PDF:Smooth tarplant (Centromadia pungens ssp. laevis) is ranked 1B.1 in the CNPS Rare Plant
zips/2025060168/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A_Biological Assessment.PDF:Salt marsh bird’s beak (Chloropyron maritimum ssp. maritimum) is a federally and state listed
zips/2025060168/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A_Biological Assessment.PDF:Parry’s spineflower (Chorizanthe parryi var. parryi) is ranked 1B.1 in the CNPS Rare Plant
zips/2025060168/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A_Biological Assessment.PDF:Mojave tarplant (Deinandra mohavensis) is a state listed Endangered Species and is ranked 1B.3
zips/2025060168/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A_Biological Assessment.PDF:Slender - horned spineflower (Dodecahema leptoceras) is a federally and state listed Endangered
zips/2025060168/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A_Biological Assessment.PDF:Santa Ana River woollystar (Eriastrum densifolium ssp. sanctorum) is a federally and state listed
zips/2025060168/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A_Biological Assessment.PDF:Jokerst’s monardella (Monardella australis ssp. Jokerstii) is ranked 1B.1 in the CNPS Rare Plant
zips/2025060168/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A_Biological Assessment.PDF:Gambel’s water cress (Nasturtium gambelii) is federally listed Endangered Species, a state listed
zips/2025060168/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A_Biological Assessment.PDF:Brand’s star phacelia (Phacelia stellaris) is ranked 1B.1 in the CNPS Rare Plant Inventory. This
zips/2025060168/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A_Biological Assessment.PDF:Berberis nevinii
zips/2025060168/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A_Biological Assessment.PDF:Canbya candida
zips/2025060168/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A_Biological Assessment.PDF:Carex comosa
zips/2025060168/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A_Biological Assessment.PDF:Horkelia cuneata
zips/2025060168/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A_Biological Assessment.PDF:Lilium parryi
zips/2025060168/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A_Biological Assessment.PDF:Lycium parishii
zips/2025060168/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A_Biological Assessment.PDF:Opuntia basilaris
zips/2025060168/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A_Biological Assessment.PDF:Oreonana vestita
zips/2025060168/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A_Biological Assessment.PDF:Phacelia stellaris
zips/2025060168/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A_Biological Assessment.PDF:Viola pinetorum
