zips/2025041448/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/APP B_CNDDB SPECIES DATABASE.PDF:Balsamorhiza macrolepis
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Monardella viridis
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Penstemon newberryi Sonoma
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Polygonum marinense Marin knotweed
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Ranunculus lobbii
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Sagittaria sanfordii
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Sidalcea hickmanii
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Sidalcea keckii
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Trichostema ruygtii
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Trifolium amoenum
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Trifolium hydrophilum saline clover
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Triteleia lugens
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Viburnum ellipticum
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Contra Costa Goldfields Lasthenia conjugens
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Showy Indian Clover Trifolium amoenum
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Sonoma Sunshine Blennosperma bakeri
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Chlorogalum pomeridianum
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Lupinus albifrons
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Micropus amphibolus
zips/2025041467/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/HMB Smith Field_MND_Public Review Draft_Vol 1_IS-MND.PDF:throughout the project site, including 82 Monterey cypress (Cupressus macrocarpa), mayten
zips/2025041467/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/HMB Smith Field_MND_Public Review Draft_Vol 1_IS-MND.PDF:and one Monterey pine (Pinus radiata); 25 of the trees to be removed meet the description of heritage
zips/2025041467/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/HMB Smith Field_MND_Public Review Draft_Vol 1_IS-MND.PDF:pine woodland stands (Hesperocyparis macrocarpa – Pinus radiata Forest and Woodland Semi-Natural
zips/2025041467/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/HMB Smith Field_MND_Public Review Draft_Vol 1_IS-MND.PDF:californica), blueblossom (Ceanothus thyrsiflorus), beaked hazelnut (Corylus cornuta), sticky
zips/2025041467/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/HMB Smith Field_MND_Public Review Draft_Vol 1_IS-MND.PDF:(Acmispon glaber), coastal bush lupine (Lupinus arboreus), California wax myrtle (Morella
zips/2025041467/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/HMB Smith Field_MND_Public Review Draft_Vol 1_IS-MND.PDF:including Choris’s popcorn flower (Plagiobothrys chorisianus var. chorisianus) and perennial
zips/2025041467/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/HMB Smith Field_MND_Public Review Draft_Vol 1_IS-MND.PDF:goldfields (Lasthenia californica ssp. macrantha). In addition, this community has the potential
zips/2025041467/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/HMB Smith Field_MND_Public Review Draft_Vol 1_IS-MND.PDF:Choris’s popcorn flower (Plagiobothrys chorisianus var. chorisianus): California Rare Plant
