zips/2025020146/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Modesto-Tivoli-Martin_IS-MND_public 2-5-25.PDF:Astragalus tener var.
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Astragalus rattanii var. jepsonianus
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Ceanothus confusus
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Ceanothus divergens
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Cordylanthus tenuis ssp. brunneus
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Delphinium uliginosum
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Erigeron greenei
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Eriogonum nervulosum
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Fritillaria purdyi
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Harmonia nutans
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Horkelia parryi
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Leptosiphon jepsonii
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Lomatium repostum
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Lupinus sericatus
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Navarretia cotulifolia
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Penstemon newberryi var. sonomensis
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Stuckenia filiformis ssp. alpina
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Astragalus clevelandii
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Calyptridium quadripetalum
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Calystegia collina ffp. oxyphy//a
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Ceanothus confusus
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Ceanothus divergens
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Fritillaria purdyi
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Layia septentrionalis
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Lomatium repostum
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Lupinus sericatus
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Streptanthus barbiger
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Streptanthus brachiatus ssp. brachiatus
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Grimmia torenii
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Amsinckia lunaris
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Arctostaphylos manzanita ssp. e/egans
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Calyptridium quadripetalum
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Calystegia collina ssp. oxyphylla
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Ceanothus confusus
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Ceanothus divergens
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Collomia diversifolia
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Cordylanthus tenuis ssp. brunneus
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Cordylanthus tenuis ssp. capillaris
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Delphinium uliginosum
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Erigeron greenei
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Eryngium constancei
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Erythranthe nudata
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Erythronium helenae
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Fritillaria purdyi
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Hesperolinon adenophyllum
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Layia septentrionalis
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Leptosiphon grandiflorus
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Leptosiphon jepsonii
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Lomatium repostum
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Lupinus sericatus
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Penstemon newberryi var. sonomensis
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Sidalcea oregana ssp. hydrophila
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Streptanthus brachiatus ssp. brachiatus
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Streptanthus brachiatus ssp. hoffmanii
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Streptanthus hesperidis
