zips/2025021019/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SBCWD_ADRoP_IS_EA_-compressed.PDF:San Joaquin spearscale (Extriplex joaquinana) – CRPR 1B.2
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Leptosiphon jepsonii
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Lessingia hololeuca
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Lessingia micradenia var.
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Lilium maritimum
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Lilium pardalinum ssp.
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Limnanthes vinculans
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Micropus amphibolus
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Microseris paludosa
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Navarretia cotulifolia
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Navarretia leucocephala
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Navarretia rosulata
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Perideridia gairdneri ssp.
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Phacelia insularis var.
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Plagiobothrys mollis var.
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Pleuropogon hooverianus semaphore grass None
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Pleuropogon refractus
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Polygonum marinense
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Potentilla uliginosa
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Quercus parvula var.
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Ranunculus lobbii
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Rhynchospora californica
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Rhynchospora globularis
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Sagittaria sanfordii
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Sidalcea calycosa ssp.
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Sidalcea hickmanii ssp.
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Streptanthus anomalus
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Streptanthus batrachopus jewelflower
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Streptanthus glandulosus
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Trifolium amoenum
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Trifolium buckwestiorum
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Trifolium hydrophilum
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Trifolium polyodon
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Triphysaria floribunda
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Triquetrella californica
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Triteleia lugens
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Viburnum ellipticum
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Chlorogalum pomeridianum
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Claytonia parviflora
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:U.S. Fish and Wildlife Service. 2014. Draft Recovery Plan for the Santa Rosa Plain: Blennosperma bakeri
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:(Sonoma sunshine); Lasthenia burkei (Burke’s goldfields); Limnanthes vinculans (Sebastopol meadowfoam);
zips/2024121188/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fowler TM No.PDF:Lasthenia chrysantha
zips/2024121188/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fowler TM No.PDF:Carex comosa
zips/2024121188/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fowler TM No.PDF:Caulanthus californicus
zips/2024121188/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fowler TM No.PDF:Imperata brevifolia
zips/2024121188/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fowler TM No.PDF:Lagophylla dichotoma
zips/2024121188/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fowler TM No.PDF:Tuctoria greenei
zips/2024121188/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fowler TM No.PDF:Leptosiphon serrulatus
zips/2024121188/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fowler TM No.PDF:Pseudobahia peirsonii
zips/2024121188/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fowler TM No.PDF:Orcuttia inaequalis
zips/2024121188/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fowler TM No.PDF:Sagittaria sanfordii
zips/2024121188/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fowler TM No.PDF:Eryngium spinosepalum
zips/2024121188/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fowler TM No.PDF:Castilleja campestris var. succulenta
