zips/2025010535/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/8049.PDF:Ranunculus lobbii
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Horkelia cuneata var. puberula
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Lilium parryi
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Lycium parishii
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Malacothamnus parishii
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Monardella macrantha ssp. hallii
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Monardella pringlei
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Lepidium virginicum var. robinsonii
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Lilium humboldtii ssp. ocellatum
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Nasturtium gambelii
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Opuntia basilaris var. brachyclada
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Pelazoneuron puberulum var.
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Perideridia parishii ssp. parishii
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Phacelia mohavensis
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Monardella saxicola
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Muhlenbergia californica
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Pseudorontium cyathiferum
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Quercus durata var. gabrielensis
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Ribes divaricatum var. parishii
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Romneya coulteri
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Schoenus nigricans
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Senecio aphanactis
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Senecio astephanus
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Phacelia stellaris
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Sidotheca caryophylloides
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Sphenopholis obtusata
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Streptanthus bernardinus
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Streptanthus campestris
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Symphyotrichum defoliatum
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Sidalcea malviflora ssp. dolosa
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Sidalcea neomexicana
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:jewelflower (Streptanthus bernardinus) and
