zips/2026010949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Site23.PDF:Alkali milk-vetch (Astragalus tener var. tener); CRPR 1B.2
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Clarkia concinna spp. raichei)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Ceanothus confusus)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Arctostaphylos stanfordiana
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Rhynchospora globularis)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Trifolium hydrophilum)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Limnanthes vinculans)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Hesperevax sparsiflora var. brevifolia)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Chloropyron molle ssp. molle)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Alopecurus aequalis var.
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Penstemon newberryi var. sonomensis)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Ceanothus sonomensis)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Chorizanthe valida)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Blennosperma bakeri)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Erigeron supplex)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Campanula californica)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Horkelia tenuiloba)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Calamagrostis crassiglumis)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Trifolium amoenum)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Dirca occidentalis)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Rhynchospora alba)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Gilia capitata ssp. tomentosa)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Anomobryum julaceum)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Triquetrella californica)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:goldfields (Lasthenia conjugens) along CA-29. There is no other Federal Critical Habitat within 10
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:Dwarf downingia (Downingia pusilla). This species is not listed as Endangered or Threatened by the
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:sunshine (Blennosperma bakeri), with two occurrences located 1.1 miles west and 1.2 miles
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:Congested-headed hayfield tarplant (Hemizonia congesta ssp. congesta) located approximately 1.4
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:special-status plant species is Saline clover (Trifolium hydrophilum) located approximately 2.0 miles
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Astragalus tener var. tener)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Lasthenia californica ssp. bakeri)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Delphinium bakeri)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Arctostaphylos bakeri ssp. bakeri)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Navarretia leucocephala ssp.
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Amsinckia lunaris)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Balsamorhiza macrolepis)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Blepharizonia plumosa)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Agrostis blasdalei)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Gilia capitata ssp. chamissonis)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Gratiola heterosepala)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Carex comosa)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Rhynchospora capitellata)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Lasthenia burkei)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Puccinellia simplex)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Rhynchospora californica)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Ceanothus divergens)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Tropidocarpum capparideum)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Astragalus claranus)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Lilium maritimum)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Calystegia purpurata ssp. saxicola)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Lupinus sericatus)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Layia septentrionalis)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Centromadia parryi ssp.
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Hemizonia congesta ssp.
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Lasthenia conjugens)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Potentilla uliginosa)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Downingia pusilla)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Fritillaria liliacea)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Allium peninsulare var. franciscanum)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Delphinium luteum)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Erigeron greenei)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Ceanothus purpureus)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Delphinium californicum ssp. interius)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Eryngium jepsonii)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Leptosiphon jepsonii)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Sidalcea oregana ssp. valida)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Arctostaphylos manzanita ssp. elegans)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Deinandra bacigalupii)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Eryngium constancei)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Navarretia leucocephala spp. plieantha)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Sidalcea malachroides)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Polygonum marinense)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Microseris paludosa)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Lathyrus palustris)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Calystegia collina ssp. oxyphylla)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Sidalcea hickmanii ssp. napensis)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Amorpha californica var. napensis)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Brodiaea leptandra)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Pleuropogon hooverianus)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Polemonium carneum)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Viburnum ellipticum)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Gilia capitata ssp. pacifica)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Centromadia parryi ssp. parryi)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Cordylanthus tenuis ssp. capillaris)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Lasthenia californica ssp. macrantha)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Cuscuta obtusiflora var.
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Plagiobothrys mollis var. vestitus)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Abronia umbellata var. breviflora)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Lilium pardalinum ssp.
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Castilleja uliginosa)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Sidalcea calycosa ssp. rhizomata)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Chloropyron maritimum ssp. palustre)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Sidalcea malviflora spp. purpurea)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Clarkia concinna spp. raichei)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Ceanothus confusus)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Arctostaphylos stanfordiana
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Rhynchospora globularis)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Trifolium hydrophilum)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Limnanthes vinculans)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Hesperevax sparsiflora var. brevifolia)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Chloropyron molle ssp. molle)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Alopecurus aequalis var.
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Penstemon newberryi var. sonomensis)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Ceanothus sonomensis)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Chorizanthe valida)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Blennosperma bakeri)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Erigeron supplex)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Campanula californica)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Horkelia tenuiloba)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Calamagrostis crassiglumis)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Trifolium amoenum)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Dirca occidentalis)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Rhynchospora alba)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Gilia capitata ssp. tomentosa)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Anomobryum julaceum)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Triquetrella californica)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:goldfields (Lasthenia conjugens) along CA-29. There is no other Federal Critical Habitat within 10
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:Dwarf downingia (Downingia pusilla). This species is not listed as Endangered or Threatened by the
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:sunshine (Blennosperma bakeri), with two occurrences located 1.1 miles west and 1.2 miles
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:Congested-headed hayfield tarplant (Hemizonia congesta ssp. congesta) located approximately 1.4
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:special-status plant species is Saline clover (Trifolium hydrophilum) located approximately 2.0 miles
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Astragalus tener var. tener)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Lasthenia californica ssp. bakeri)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Delphinium bakeri)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Arctostaphylos bakeri ssp. bakeri)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Navarretia leucocephala ssp.
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Amsinckia lunaris)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Balsamorhiza macrolepis)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Blepharizonia plumosa)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Agrostis blasdalei)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Gilia capitata ssp. chamissonis)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Gratiola heterosepala)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Carex comosa)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Rhynchospora capitellata)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Lasthenia burkei)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Puccinellia simplex)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Rhynchospora californica)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Ceanothus divergens)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Tropidocarpum capparideum)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Astragalus claranus)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Lilium maritimum)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Calystegia purpurata ssp. saxicola)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Lupinus sericatus)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Layia septentrionalis)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Centromadia parryi ssp.
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Hemizonia congesta ssp.
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Lasthenia conjugens)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Potentilla uliginosa)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Downingia pusilla)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Fritillaria liliacea)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Allium peninsulare var. franciscanum)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Delphinium luteum)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Erigeron greenei)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Ceanothus purpureus)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Delphinium californicum ssp. interius)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Eryngium jepsonii)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Leptosiphon jepsonii)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Sidalcea oregana ssp. valida)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Arctostaphylos manzanita ssp. elegans)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Deinandra bacigalupii)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Eryngium constancei)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Navarretia leucocephala spp. plieantha)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Sidalcea malachroides)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Polygonum marinense)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Microseris paludosa)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Lathyrus palustris)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Calystegia collina ssp. oxyphylla)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Sidalcea hickmanii ssp. napensis)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Amorpha californica var. napensis)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Brodiaea leptandra)
