zips/2024080045/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pixley PUD TCP Mitigation Project CEQA_Plus ISMND_August 2024.PDF:(Calochortus striatus)
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Leptosiphon ambiguus
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Juglans californica
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Fritillaria agrestis
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Navarretia heterandra
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Eriogonum luteolum var.
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Dirca occidentalis
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Monolopia gracilens
zips/2024080036/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Review Draft ISMND - Atwater Well 7-23-2024.PDF:the San Joaquin Valley Orcutt grass (Orcuttia inaequalis).
zips/2024080036/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Review Draft ISMND - Atwater Well 7-23-2024.PDF:Atriplex persistens
zips/2024080036/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Review Draft ISMND - Atwater Well 7-23-2024.PDF:Sagittaria sanfordii
zips/2024080036/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Review Draft ISMND - Atwater Well 7-23-2024.PDF:Neostapfia colusana
