zips/2024071069/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ATT 1 LSA Biological Resources Assessment_8-2018.PDF:Alopecurus aequalis
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Isocoma menziesii var. decumbens
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Lasthenia glabrata ssp. coulteri
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Lepidium virginicum var. robinsonii
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Lupinus paynei
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Malacothamnus davidsonii
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Monardella hypoleuca ssp. hypoleuca
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Nama stenocarpa
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Navarretia ojaiensis
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Nolina cismontana
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Orcuttia californica
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Pelazoneuron puberulum var. sonorense
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Pentachaeta lyonii
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Quercus dumosa
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Sagittaria sanfordii
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Sidalcea neomexicana
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Symphyotrichum greatae
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Astragalus tener coastal dunes Fabaceae
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Atriplex coulteri Coulter's
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Atriplex parishii Parish's
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Berberis nevinii Nevin's
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Atriplex pacifica south coast Chenopodiaceae annual herb
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Canbya candida white pygmy- Papaveraceae annual herb
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Dudleya cymosa marcescent Crassulaceae
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Dudleya cymosa Santa Monica Crassulaceae
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Horkelia cuneata mesa horkelia Rosaceae
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Juncus acutus southwestern Juncaceae
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Lupinus paynei Payne's bush Fabaceae
zips/2024071035/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study - Verma Apartments.PDF:Figure 3.4-1, the only listed species is the San Joaquin Adobe Sunburst (Pseudobahia peirsonii). Table 3.4-1 goes
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:(Fritillaria pluriflora)
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:(Paronychia ahartii)
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:(Wolffia brasiliensis)
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:(Sidalcea robusta)
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:(Limnanthes floccosa
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:(Imperata brevifolia)
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:(Astragalus tener var.
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:(Tuctoria greenei)
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:(Euphorbia hooveri)
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:(Clarkia gracilis ssp.
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:(Hibiscus lasiocarpos
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:(Stuckenia filiformis ssp.
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:(Castilleja rubicundula
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:(Juncus leiospermus var.
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:(Cryptantha crinita)
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:(Orcuttia tenuis)
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Astragalus tener var. ferrisiae
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Balsamorhiza macrolepis
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Castilleja rubicundula var. rubicundula
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Clarkia gracilis ssp. albicaulis
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Cryptantha crinita
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Euphorbia hooveri
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Fritillaria eastwoodiae
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Fritillaria pluriflora
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Hibiscus lasiocarpos var. occidentalis
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Imperata brevifolia
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Juncus leiospermus var. leiospermus
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Limnanthes floccosa ssp. californica
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Limnanthes floccosa ssp. floccosa
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Paronychia ahartii
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Rhynchospora californica
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Sidalcea robusta
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Stuckenia filiformis ssp. alpina
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Tuctoria greenei
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Wolffia brasiliensis
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Astragalus pauperculus
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Astragalus tener var.
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Balsamorhiza macrolepis big-scale balsamroot Asteraceae
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Brodiaea rosea ssp.
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Calycadenia oppositifolia Butte County
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Castilleja rubicundula
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Clarkia gracilis ssp.
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Claytonia palustris
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Cryptantha crinita
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Erythranthe glaucescens
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Euphorbia hooveri
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Fritillaria eastwoodiae
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Fritillaria pluriflora
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Hesperevax caulescens
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Hibiscus lasiocarpos var.
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Imperata brevifolia
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Limnanthes floccosa ssp. woolly meadowfoam Limnanthaceae
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Juncus leiospermus var.
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Limnanthes floccosa ssp. Butte County
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Navarretia heterandra
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Paronychia ahartii
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Polygonum bidwelliae
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Rhynchospora californica California beakedrush
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Sidalcea robusta
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Stuckenia filiformis ssp.
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Tuctoria greenei
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Wolffia brasiliensis
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Butte County Meadowfoam Limnanthes floccosa ssp. californica
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Greene's Tuctoria Tuctoria greenei
zips/2024071034/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Autumn Leaf Estates Initial Study signed w-Appendices.PDF:Slender Orcutt Grass Orcuttia tenuis
