zips/2026010040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study MND Wastewater Control Plant Annexation and Colusa Triple Crown Development.PDF:the potential to occur within the BSA include heartscale (Atriplex cordulata var. cordulata). Special-status
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Ceanothus sonomensis)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Chorizanthe valida)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Blennosperma bakeri)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Erigeron supplex)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Campanula californica)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Horkelia tenuiloba)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Calamagrostis crassiglumis)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Trifolium amoenum)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Ceanothus foliosus var.
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Clarkia imbricata)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Arctostaphylos densiflora)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Dirca occidentalis)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Rhynchospora alba)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Gilia capitata ssp. tomentosa)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Anomobryum julaceum)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Triquetrella californica)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:Galium californicum
zips/2026011066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TCOE ISMND 1.PDF:(Orcuttia inaequalis)
zips/2026011066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TCOE ISMND 1.PDF:(Atriplex depressa)
zips/2026011066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TCOE ISMND 1.PDF:(Puccinellia simplex)
zips/2026011066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TCOE ISMND 1.PDF:(Imperata brevifolia)
zips/2026011066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TCOE ISMND 1.PDF:(Lasthenia glabrata
zips/2026011066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TCOE ISMND 1.PDF:(Atriplex cordulata
zips/2026011066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TCOE ISMND 1.PDF:(Atriplex cordulata
zips/2026011066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TCOE ISMND 1.PDF:(Atriplex minuscula)
zips/2026011066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TCOE ISMND 1.PDF:(Delphinium recurvatum)
zips/2026011066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TCOE ISMND 1.PDF:(Sagittaria sanfordii)
zips/2026011066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TCOE ISMND 1.PDF:(Atriplex subtilis)
zips/2026011066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TCOE ISMND 1.PDF:(Atriplex persistens)
zips/2026011066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TCOE ISMND 1.PDF:(Helianthus winteri)
